utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,02,0.0,16399,152701528071833,5,50.9,354.3798522949219,0.03450664132833481,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.9,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.52807183302,0.06407384836347774,19208856.494406268,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,03,0.0,16399,152701530149051,5,50.7,-116.43248748779295,0.03150664269924164,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.7,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.53014905102,0.061996630363864824,18586122.20450047,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,04,0.0,16399,152701530441097,5,50.3,-78.47721862792969,0.03150664269924164,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.3,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.530441097,0.06170458436827175,18498569.017632566,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,06,0.0,16399,152701514453897,5,50.8,-666.5101928710938,0.025506641715765,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.8,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.51445389702,0.07769178436137736,23291411.00010328,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,09,0.0,16399,152701522857401,5,50.9,-426.90423583984375,0.04350664094090462,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.9,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.522857401,0.06928828038508072,20772103.887236536,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,16,0.0,16399,152701513351221,5,50.7,-430.7557373046875,0.027006641030311584,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.7,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.51335122102,0.0787944603653159,23621984.94970163,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,17,0.0,16399,152701519878917,5,51.0,123.36055755615234,0.04770217090845108,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,46.0,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.519878917,0.07226676438585855,21665030.926943395,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,19,0.0,16399,152701518874031,5,51.3,-104.62995147705078,0.01920216903090477,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,46.3,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.518874031,0.07327165038441308,21966288.17045984,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,21,0.0,16399,152701524845051,5,51.3,469.7734680175781,0.040202170610427856,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,46.3,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.524845051,0.06730063038412482,20176221.407806262,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,26,0.0,16399,152701517025707,5,51.1,-298.4328308105469,0.020702172070741653,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,46.1,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.517025707,0.07511997438268736,22520401.765082877,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,28,0.0,16399,152701517480629,5,51.3,576.1597900390625,0.020702172070741653,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,46.3,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.517480629,0.07466505237971433,22384019.579613306,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,31,0.0,16399,152701525714858,5,50.6,339.50750732421875,0.03900664299726486,16,0.0,0.0,1575420030,,,,0,0.0,1,-54.76,45.6,0.0,0.0,,,C,12655147618117,G,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.525714858,0.06643082338268869,19915459.828860115,1.4989622900000001
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,10,0.0,23567,152701511663390,10,43.8,523.4892578125,0.05989910662174225,16,0.0,0.0,1575420030,,,,0,0.0,6,-56.87,39.5,1626239.125,1439.9134521484375,,,C,12655147618117,E,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.51166339,0.08048229137784801,24127983.95763726,2.9979245800000003
1715019883592,12028684000000,,0.0,-1399043072908145713,-0.6571407318115234,15000055.313110352,-5.02994778997305,9.23926729279144,1,36,0.0,23567,152701517645735,9,44.6,-184.298583984375,0.06230919808149338,16,0.0,0.0,1575420030,,,,0,0.0,6,-56.87,40.300000000000004,1626239.125,1439.9134521484375,,,C,12655147618117,E,1.3990551015921457e+18,2024-05-06 18:25:01.592145664+00:00,5,1.3990551015921457e+18,2313.0,152701.59214568138,152701.517645735,0.0744999463786371,22334522.045719817,2.6981321220000005
