t_k,delT_sv,x_k,y_k,z_k
1559.3462304669956,-0.00044088230408463055,22724927.209702566,13977025.955319338,1869686.1668302661
1559.3492691300053,0.0003495654106557667,12820327.943803554,9125934.24579418,21266677.399616733
1559.3487672409974,0.00035517269397526897,21633065.8122285,3661372.296939429,15082035.842342231
1559.3404876110144,0.00018660110696144304,25243625.615620203,-7243609.360806771,4076005.6695815157
1559.337565755006,0.0007082822847425506,21208939.44856398,-13394516.686893508,9387902.884201592
1559.337020787003,0.0004783416598954573,13909627.504225042,-15277131.575953076,16285611.564990675
1559.3367929500237,0.00015670374339539118,-4230809.421205001,25839603.437627677,2901616.965022904
1575.337331206014,-0.0002328268459707341,-7182189.669299655,13546470.866824983,21675053.750043865
1559.345395790995,-0.00022790097598935304,2778642.026531052,19042376.21552868,17920021.1987072
